Title,URL,Habit Forming Challenges
Rover.com sustainable dog toys,https://www.rover.com/blog/sustainable-dog-toys/,COPT0001
"Why Air Drying Laundry is Better, for your clothes and the planet","https://www.bhg.com/homekeeping/laundry-linens/clothes/dry-clothes/#:~:text=Air%2Ddrying%20clothes%20uses%20less,and%20tear%20in%20the%20dryer",CHEE0002
Alternatives to A/C,https://temperaturemaster.com/how-to-cool-a-room-with-ice/,CHEE0004
Sustainable Zero Waste Bamboo Based Pet Products,https://www.sustainablejungle.com/zero-waste/bamboo-pet-products/,COPT0001
Best smart leak detectors,https://www.nytimes.com/wirecutter/reviews/the-best-smart-leak-detector/,COHH0001
Earth911.com Recycling and Sustainability Website,https://www.earth911.com,COEA0001
350.org International Climate Organization,https://350.org/,COEA0002
The Nature Conservancy,https://www.nature.org/en-us/,"COEA0003,CHEA0063"
Emerald Edge coastal rainforest,https://www.nature.org/en-us/about-us/where-we-work/priority-landscapes/emerald-edge/,COEA0004
Earth911:   Sustainable Hotel Travel,https://earth911.com/travel-living/green-hotels-how-do-i-identify-sustainable-travel-lodging/,CHTT0015
Simple natural homemade dog treats recipe,https://trashisfortossers.com/4-ingredient-homemade-zero-waste-dog-treats/,CHPT0001
EPA composting guide,https://www.epa.gov/recycle/composting-home,CHRU0003
Best compost bins,https://nymag.com/strategist/article/best-compost-bins.html,CHRU0003
Climate Reality Project,https://www.climaterealityproject.org/,COEA0005
Seattle's best vegan (and vegetarian) pizzas,https://seattleveganrestaurants.com/blog/the-best-vegan-pizza-in-seattle,COFD0002
Carbon footprint of different food,https://ourworldindata.org/carbon-footprint-food-methane,COEA0006
Last Object,https://lastobject.com/,CHHH0005
"Benefits of Energy Star windows, doors and skylights",https://www.energystar.gov/products/building_products/residential_windows_doors_and_skylights/benefits,"COHH0002,CHEA0046,CHEA0047"
Clean energy wind turbine overview,https://www.clean-energy-ideas.com/wind/wind-turbines/how-much-energy-does-a-wind-turbine-produce/,COHH0007
My Climate Journey podcast,https://www.myclimatejourney.co/,CHEA0001
To a Lesser Degree - Climate podcast from the Economist,https://www.economist.com/podcasts/2021/09/25/to-a-lesser-degree-a-new-climate-podcast-from-the-economist,CHEA0001
Energy Star most efficient refrigerators 2021,https://www.energystar.gov/productfinder/most-efficient/me-certified-refrigerators?type_filter=Top+Freezer&type_filter=Bottom+Freezer&type_filter=Side-by-Side,"CHEE0005,CHEA0046"
How to Save a Planet podcast,https://gimletmedia.com/shows/howtosaveaplanet,CHEA0001
The energy costs of cooling and heating a home,https://www.npr.org/templates/story/story.php?storyId=13941744,CHEE0007
The differences between heat pumps and a furnace,https://www.thisoldhouse.com/heating-cooling/21097106/whats-the-difference-between-a-heat-pump-and-furnace,COEE0002
Best solar power banks,https://www.treehugger.com/best-solar-power-banks-5080126,COEE0003
Investopedia ESG overview,https://www.investopedia.com/terms/e/environmental-social-and-governance-esg-criteria.asp,"CHEA0002,CHAW0010"
Ways to reduce junkmail,https://www.consumer.ftc.gov/articles/how-stop-junk-mail#mail,COHH0008
Save airplane emissions by packing light,https://www.flyaware.com/your-journey/pack-lighter/how-packing-lighter-can-reduce-emissions/,CHTT0016
Household carbon emissions,https://www.pnas.org/content/117/32/19122,COEA0007
Al Gore Climate Change Ted talk,https://www.ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal?utm_campaign=tedspread&utm_medium=referral&utm_source=tedcomshare,COEA0008
Ten of the best YouTube videos on climate change,https://www.carbonbrief.org/10-of-the-best-youtube-videos-on-climate-change,"COEA0008,CHEA0043"
Best water leak sensors 2021,https://www.pcmag.com/picks/the-best-smart-water-leak-detectors,COHH0001
Energy.gov home energy assesments,https://www.energy.gov/energysaver/professional-home-energy-assessments,COHH0006
How much does electricity cost,https://www.inspirecleanenergy.com/blog/clean-energy-101/how-much-does-electricity-cost,CHEE0009
"Climate change: Should you fly, drive or take the train?",https://www.bbc.com/news/science-environment-49349566,COTT0001
Google Maps public transit directions,https://support.google.com/maps/answer/6142130?hl=en,CHTT0005
Uber Green,https://www.uber.com/us/en/ride/ubergreen/,CHTT0011
Waze carpool,https://www.waze.com/carpool/,CHTT0003
Simple Veganista marinara sauce recipe,https://simple-veganista.com/marinara-sauce/,CHFD0003
All Recipes easy vegan pasta sauce,https://www.allrecipes.com/recipe/23982/easy-vegan-pasta-sauce/,CHFD0003
Trash each person creates per year,https://www.titlemax.com/discovery-center/lifestyle/trash-one-person-produces-year/,CHHH0019
CNet best smart thermostats,https://www.cnet.com/home/energy-and-utilities/best-smart-thermostats/,COHH0009
Seattle Green Up Renewable Energy Credit program,https://www.seattle.gov/city-light/residential-services/home-energy-solutions/renewable-energy-credits,CHHH0021
That second refrigerator is a bad idea,https://www.consumerreports.org/refrigerators/second-refrigerator-is-running-up-your-utility-bill-a1092930681/,CHHH0022
Planning a vegetable garden,https://www.bhg.com/gardening/vegetable/vegetables/planning-your-first-vegetable-garden/,CHFD0027
Climate and Environmental impact of smartphones,https://www.cnn.com/2021/10/03/tech/right-to-repair-climate-environmental-impact/index.html,CHRU0004
Repair not recycle to reduce ewaste,https://www.weforum.org/agenda/2021/07/repair-not-recycle-tackle-ewaste-circular-economy-smartphones/,CHRU0004
25 ways to save water,https://www.volusia.org/services/growth-and-resource-management/environmental-management/natural-resources/water-conservation/25-ways-to-save-water.stml,CHHH0023
Where to donate clothes,https://www.goodhousekeeping.com/life/a34301625/where-to-donate-clothes/,CHRU0005
Best low flow showerheads,https://www.treehugger.com/best-shower-heads-5086864,COHH0010
Earth911 guide to clean recyclables,https://earth911.com/home-garden/clean-recyclables/,CHRU0007
How to compost your Christmas tree,https://www.pickyourownchristmastree.org/disposing.php,CHRU0008
Low Carbon Diet,https://www.weightwatchers.com/us/blog/weight-loss/low-carbon-diet,COEA0006
World Resources Institute Protein Scorecard,https://www.wri.org/data/protein-scorecard,COEA0006
Earth911.com guide to home energy use,https://earth911.com/home-garden/reduce-carbon-footprint-home-energy-use/,COEA0007
Energy Sage 10 ways to save home energy,https://www.energysage.com/energy-efficiency/101/ways-to-save-energy/,COEA0007
EPA climate change transportation guide,https://www.epa.gov/transportation-air-pollution-and-climate-change/carbon-pollution-transportation,COEA0009
EPA Greenhouse Gas Emissions from passenger vehichles,https://www.epa.gov/greenvehicles/greenhouse-gas-emissions-typical-passenger-vehicle,COEA0009
Fuel economy and climate change,https://www.fueleconomy.gov/feg/climate.shtml,COEA0009
Ultimate vegetarian burrito recipe,https://dishingouthealth.com/vegetarian-burrito/,CHFD0028
BBC GoodFood vegan burritos,https://www.bbcgoodfood.com/recipes/vegan-burritos,CHFD0028
All Recipes Vegetarian bean burritos,https://www.allrecipes.com/recipe/53141/vegetarian-bean-burritos/,CHFD0028
Chipotles best vegetarian menu items,https://www.businessinsider.com/chipotle-best-vegan-vegetarian-menu-items-2019-4#flour-tortilla-with-rice-protein-and-produce-5,CHFD0028
General Tso's Tofu,https://simpleveganblog.com/general-tsos-tofu/,CHFD0029
Garlic Tofu Stir Fry,https://shuangyskitchensink.com/chinese-garlic-tofu-stir-fry/,CHFD0029
Tofu and Broccoli,https://tasty.co/recipe/chinese-takeout-style-tofu-and-broccoli,CHFD0029
What is Eco Mode,https://cartreatments.com/what-is-eco-mode/,CHTT0018
Cars.com Eco Mode Explained,https://www.cars.com/articles/what-is-eco-mode-440386/,CHTT0018
BBC The Climate Question Podcast,https://www.bbc.co.uk/programmes/w13xtvb6/episodes/downloads,CHEA0001
Green Living Magazine on Instagram,https://www.instagram.com/greenlivingmag/?hl=en,CHEA0004
Good Earth Influence on Instagram - an archive of sustainability content,https://www.instagram.com/goodearthfluence/?hl=en,CHEA0004
Cloudpaper.co bamboo vs recycled toilet paper,https://cloudpaper.co/blogs/cloud-paper-blog/best-eco-friendly-toilet-paper,CHHW0004
Treehugger.com eco friendly toilet paper compared,https://www.treehugger.com/eco-friendly-toilet-paper-bamboo-vs-recycled-5114452,CHHW0004
Electric kettle energy efficiency,"https://insideenergy.org/2016/02/23/boiling-water-ieq/#:~:text=An%20electric%20teakettle%20is%20about,is%20about%2085%20percent%20efficient.",CHHH0024
Foodsguy guide to energy efficient kettles,https://foodsguy.com/energy-efficient-kettles/,CHHH0024
Signup for GetGreen,https://www.getgreen.eco/getgreen-app.html,CHEA0005
NRDC study on energy savings from game consoles,https://www.nrdc.org/experts/noah-horowitz/latest-game-consoles-environmental-winners-or-losers,"CHEE0010,CHEE0011"
Xbox default energy setting hurts the environment,https://arstechnica.com/gaming/2021/01/how-the-xboxs-default-instant-on-feature-could-harm-the-environment/,CHEE0010
Energy Star guide to game console power savings,https://www.energystar.gov/products/configuring_todays_game_consoles_use_less_energy_0,CHEE0010
Poultry instead of beef cuts diet carbon footprint in half,https://www.foodingredientsfirst.com/news/swapping-one-beef-serving-for-poultry-per-day-cuts-diets-carbon-footprint-by-almost-half.html,"CHFD0021,COEA0006"
Game consoles can be power hungry streaming devices,https://www.cordcuttersnews.com/group-says-latest-game-consoles-can-be-power-hungry-streaming-devices/,CHEE0011
World Wildlife Fight Climate Change by Preventing Food Waste,https://www.worldwildlife.org/stories/fight-climate-change-by-preventing-food-waste,COEA0010
USDA guide to food waste impact and reduction,https://www.usda.gov/foodlossandwaste/why,COEA0010
Budget Bites Honey Sriracha Tofu Recipe,https://www.budgetbytes.com/honey-sriracha-tofu/,CHFD0030
Pan fried sesame garlic tofu,https://www.tablefortwoblog.com/pan-fried-sesame-garlic-tofu/,"CHFD0030,CHFD0031"
25 great tofu based recipes,https://www.delish.com/cooking/g26001696/tofu-recipes/,CHFD0031
Backyard Garden Seeds,https://www.backyardgardenseeds.com/,CHFD0027
Earth911.com guide to sustainable investment funds,https://earth911.com/how-and-buy/socially-responsible-investment-funds/,"CHEA0002,CHAW0010"
DIY dog treats,https://www.plantedinthewoods.com/blog/diy-dog-treats,CHPT0001
Molly Mutt guide to DIY dog bed stuffing,https://www.mollymutt.com/dog-bed-stuffing,CHPT0003
DIY dog bed creation,"https://www.hillspet.com/dog-care/resources/diy-dog-bed#:~:text=The%20simplest%20DIY%20dog%20bed,and%20comfortable%20for%20your%20dog.",CHPT0003
Bark.co guide to donating old dog toys,https://post.bark.co/fun/can-you-donate-dog-toys/,CHPT0004
Humane Society donation information,https://www.thehumanesociety.org/more-ways-to-donate/donate-items/,CHPT0004
Decluttering your old clothes and sheets,https://www.apartmenttherapy.com/genius-way-declutter-clothes-sheets-36960093,CHHH0025
Pintrest sheets into beanbag chair magic,https://www.pinterest.com/pin/164099980158981444/,CHHH0025
Earth911 How plant based diets impact climate change,https://earth911.com/inspire/how-plant-based-diets-directly-impact-climate-change/?utm_source=ActiveCampaign&utm_medium=email&utm_content=%F0%9F%8C%8E+Invest+With+Your+Conscience+%7C+Plant-based+Diets+Impact+Climate+Change+%7C+Passive+House+Design+%7C+Podcast%3A+Seaweed-based+Packaging&utm_campaign=Earth911%3A+January+14%2C+2022,COEA0006
Bon Appetit green curry lentil soup,https://www.bonappetit.com/recipe/green-curry-lentil-soup,CHFD0032
Modern  Proper Hungarian mushroom soup,https://themodernproper.com/hungarian-mushroom-soup,CHFD0032
Food Network healthified broccoli cheddar soup,https://www.foodnetwork.com/recipes/food-network-kitchen/healthified-broccoli-cheddar-soup-recipe-2119129,CHFD0032
Food Network vegetarian chili,https://www.foodnetwork.com/recipes/robin-miller/vegetarian-chili-recipe-1917088,CHFD0032
Earth911 guide to plant based soups,https://earth911.com/home-garden/plant-based-soups-super-for-you-the-planet/,CHFD0032
Natasha Kitchen cabbage and mushroom chebureki,https://natashaskitchen.com/cabbage-and-mushroom-chebureki-turnovers/,CHFD0022
Herb and cheese Chebureks,https://lyukum.com/chebureks/,CHFD0022
Drive Safe and Save,https://www.statefarm.com/customer-care/download-mobile-apps/drive-safe-and-save-mobile,CHTT0018
Treehugger guide to cell phone recycling,https://www.treehugger.com/cell-phone-recycling-5190577,CHRU0010
The benefits of weather stripping,https://www.homeadvisor.com/r/benefits-of-weather-stripping/,CHEE0012
Weather stripping prevention against drafts,"https://energyeducation.ca/encyclopedia/Weather_stripping#:~:text=Weatherstripping%20is%20a%20very%20simple,better%20protection%20against%20air%20drafts.",CHEE0012
Ecolibrium3 Home Energy Audit (HEA) information,https://www.ecolibrium3.org/energyaudit/,CHEA0007
Minnesota Grown: Community Sustainable Agriculture,https://minnesotagrown.com/csa/,CHFD0033
"Energy efficient cooking - gas, electric or induction",https://www.leafscore.com/eco-friendly-kitchen-products/which-is-more-energy-efficient-gas-electric-or-induction/,COEA0011
Energy Star guide to induction cooking,https://www.energystar.gov/about/2021_residential_induction_cooking_tops,COEA0011
Treehugger guide to small induction stoves,https://www.treehugger.com/energy-efficient-induction-cooktops-for-small-kitchens-4858317,COEA0011
Emerald Palate guide to must try Indian food in Seattle,https://www.emeraldpalate.com/must-try-indian-food-in-seattle/,CHFD0035
EPA guide to electronics recycling,https://www.epa.gov/recycle/electronics-donation-and-recycling,CORU0001
Climate.org e-waste and how to reduce it,https://climate.org/e-waste-and-how-to-reduce-it,CORU0001
BBC guide to food waste and composting,https://www.bbc.com/future/article/20200224-how-cutting-your-food-waste-can-help-the-climate,CHHH0027
UW Recycling Overview,  https://green.uw.edu/blog/blog/80,CHRU0011
Earth.org 8 must read books on climate change,https://earth.org/climate-change-books/,CHEA0008
EnergyStar Flip Your Fridge Calculator,https://www.energystar.gov/products/appliances/refrigerators/flip-your-fridge,CHEE0005
Follow GetGreen app on Instagram,https://www.instagram.com/getgreenapp/?hl=en,CHEA0004
Better Home and Garden: how to make compost at home,https://www.bhg.com/gardening/yard/compost/how-to-compost/,"CHHH0028,CHHH0027"
"Composting at home, EPA",https://www.epa.gov/recycle/composting-home,"CHHH0028,CHHH0027"
Composting is one of the simplest low-tech climate change reversing actions people can take,https://drawdown.org/solutions/composting,"CHHH0027,CHHH0028,CHRU0003"
Earth911 guide to making your own potting soil,https://earth911.com/home-garden/diy-potting-soil/,CHHH0029
Read up on dishwasher energy usage,https://ecocostsavings.com/dishwasher-wattage-energy-efficiency/,CHHH0030
Carbon emissions per flight from Google Flights,https://support.google.com/travel/answer/9671620?hl=en,CHTT0021
BBC guide to emissions from flying and climate change,https://www.bbc.com/future/article/20200218-climate-change-how-to-cut-your-carbon-emissions-when-flying,CHTT0021
What is Reef-Safe Sunscreen?,https://www.rei.com/learn/expert-advice/what-is-reef-safe-sunscreen.html,CHHW0005
Carbon footprint of footwear,https://news.mit.edu/2013/footwear-carbon-footprint-0522,CHHW0006
Where to Compost: A State-by-State Guide,https://www.litterless.com/wheretocompost,CHRU0012
Solar Efficiency and Benefits,https://www.energysage.com/local-data/solar-rebates-incentives/mn/,CHEA0054
Leafscore Best Eco-Friendly Dog Beds,https://www.leafscore.com/eco-friendly-pet-products/best-eco-friendly-dog-beds/,CHPT0012
Earth911 Sustainable Bedding Brands,https://earth911.com/how-and-buy/sustainable-bedding-brands-for-a-better-nights-sleep/,CHHH0034
Earth911: A Second Life for Old Toys,https://earth911.com/home-garden/letting-go-and-finding-a-second-life-for-old-toys/,CHRU0013
Earth911: 4 Food Wrap Alternatives,https://earth911.com/home-garden/4-food-wrap-alternatives/,CHRU0014
Earth911: 5 Steps to Your Home Energy Audit,https://earth911.com/home-garden/5-steps-to-conduct-your-own-home-energy-audit/,CHEE0017
Earth911: Don't Recycle Your Identity,https://earth911.com/home-garden/dont-recycle-your-identity/,CHRU0015
Earth911: Cut Your Summer Energy Bill,https://earth911.com/home-garden/cut-summer-energy-bills/,CHEA0010
Earth911: 8 Sustainable Packaging Labels,https://earth911.com/business-policy/sustainable-packaging-labels/,CHEA0011
Earth911: A Buyer's Guide to Home Siding,https://earth911.com/home-garden/a-buyers-guide-to-home-siding/,CHHH0035
Earth911: Why Should You Care About '1% for the Planet'?,https://earth911.com/business-policy/one-percent-for-the-planet/,CHHH0036
Earth911: Home Solar Costs,https://earth911.com/eco-tech/solar-system-cost/,"CHEA0012,CHEA0054"
Earth911: How to Recycle Rechargeable Batteries,https://earth911.com/how-to-recycle/recycling-mystery-rechargeable-tool-batteries/,CHRU0016
Earth911: Top Eco-Toy Brands,https://earth911.com/home-garden/top-eco-toy-brands/,CHHH0037
Earth911: Skiing Green,https://earth911.com/living-well-being/skiing-green/,CHTT0025
Earth911: Tips for a Lifetime Roof,https://earth911.com/how-and-buy/lifetime-roof/,CHHH0038
Earth911: Sustainable Event Planning,https://earth911.com/living-well-being/how-to-plan-a-sustainable-event/,CHHH0039
Earth911: TCO Certified Technology,https://earth911.com/eco-tech/tco-certification-sustainable-it-products/,CHEA0013
Earth911: EV Considerations,https://earth911.com/eco-tech/confidently-switch-to-ev/,CHTT0026
Earth911: Take Advantage of Solar Tax Credit,https://earth911.com/how-to-recycle/how-to-take-advantage-of-solar-tax-credits/,CHEA0014
Earth911: Soil Carbon Practices and Climate Change,https://earth911.com/business-policy/can-soil-carbon-practices-reverse-climate-change/,CHHH0040
Earth911: How to Choose and Energy Provider,https://earth911.com/business-policy/how-to-choose-an-energy-provider/,CHEE0018
Earth911: IKEA Buyback Program,https://earth911.com/business-policy/ikea-launches-buy-back-program/,CHRU0017
Earth911: How to Keep Recycling Workers Safe,https://earth911.com/business-policy/keeping-recycling-workers-safe-and-how-you-can-help/,CHRU0018
Earth911: Zombie Soil and Industrial Agriculture,https://earth911.com/business-policy/zombie-soil-the-harmful-result-of-industrial-farming/,CHEA0015
What is fast fashion and why is it a problem?,https://www.ethicalconsumer.org/fashion-clothing/what-fast-fashion-why-it-problem,CHEA0016
Farms & CSAs Around Duluth,https://www.localharvest.org/duluth-mn/csa,"CHFD0001,CHFD0041"
How to Roast Pumpkin Seeds,https://www.jessicagavin.com/how-to-roast-pumpkin-seeds/,CHFD0043
Pumpkin Gut Bread Recipe,https://eatingrichly.com/how-to-cook-a-whole-pumpkin-and-recipe-for-pumpkin-gut-bread/,CHFD0043
Bent Paddle Brewing,https://bentpaddlebrewing.com/,CHFD0018
Duluth Cider,https://duluthcider.com/,CHFD0018
Comments for The Enhancement and Standardization of Climate-Related Disclosures for Investors,https://www.sec.gov/comments/s7-10-22/s71022.htm,CHEA0017
Minn Tofu,https://minntofu.com/,"CHFD0029,CHFD0030,CHFD0023,CHFD0038,CHFD0021"
Pizza Luce Duluth,https://www.pizzaluce.com/,COFD0002
Leaf Rides,https://www.leafrides.com/,CHTT0020
Suggest a new green action or product to GetGreen,https://www.getgreen.eco/suggestanaction.html,"CHEA0018,CHAW0016"
America Recycles Day,https://www.epa.gov/recyclingstrategy/america-recycles-day,CHEA0019
Earth911 recycling center search,https://earth911.com/recycling-center-search-guides/,CHEA0019
How to Defrost a Turkey for Thanksgiving,https://www.cnet.com/home/kitchen-and-household/how-to-thaw-turkey-thanksgiving/,CHFD0044
It’s Almost Time to Thaw Your Turkey – Here’s How to Do It Safely,https://www.cleaneatingmag.com/clean-pantry/cooking-tips/its-almost-time-to-thaw-your-turkey-heres-how-to-do-it-safely/,CHFD0044
"23 Thanksgiving Recipes So Good, No One Will Know They’re Actually Healthy",https://theeverygirl.com/plant-based-recipes-thanksgiving/,CHFD0045
40 Thanksgiving Recipes,https://www.loveandlemons.com/vegan-thanksgiving-recipes/,CHFD0045
Rewiring America guide to IRA energy incentives,https://www.rewiringamerica.org/app/ira-calculator,"CHEA0020,CHEA0046,CHEA0049,CHTT0026"
NRDC Consumer Guide to the Inflation Reduction Act,https://www.nrdc.org/stories/consumer-guide-inflation-reduction-act,CHEA0020
Travelwise guide to Trip Chaining,https://travelwise.utah.gov/strategies/trip-chaining/,CHTT0027
Earth911: Eco-friendly Gift Wrap,https://earth911.com/living-well-being/buy-or-diy-eco-friendly-gift-wrap/,CHHW0014
12 Eco-friendly Christmas Tips,https://www.realhomes.com/advice/10-tips-for-an-eco-friendly-christmas,CHEA0022
Sustainable Christmas Ideas: 13 Ways to Make this Yuletide Greener,https://www.positive.news/lifestyle/sustainable-christmas-ideas-how-to-make-yuletide-greener/,CHEA0022
Earth911: Making the Holidays More Sustainable,https://earth911.com/living-well-being/make-holidays-more-sustainable/,CHEA0022
Produce by the season,https://www.seasonalfoodguide.org/,CHFD0041
Earth911 guide to plastic bag recycling,https://earth911.com/recycling-guide/how-to-recycle-plastic-bags/,CHRU0024
Mind Body Green guide to recycling plastic bags,https://www.mindbodygreen.com/articles/how-to-recycle-plastic-bags,CHRU0024
Katie Couric guide to healthy Super Bowl snacks,https://katiecouric.com/lifestyle/recipes/healthy-easy-super-bowl-snacks-appetizers-recipes/,"CHFD0046,CHFD0040"
NY Times vegetarian Super Bowl recipes,https://cooking.nytimes.com/68861692-nyt-cooking/936927-vegetarian-super-bowl-recipes,"CHFD0046,CHFD0040"
Amazing Super Bowl Vegetarian Recipes from Good Housekeeping,https://www.goodhousekeeping.com/food-recipes/g25727072/vegetarian-super-bowl-recipes/,"CHFD0046,CHFD0040"
The Case for Electric Bicycles,https://www.greenamerica.org/green-living/case-electric-bicycles,CHEA0023
E-bikes are good for the environment and for you too,https://www.sustainability-times.com/low-carbon-energy/e-bikes-are-good-for-the-environment-and-good-for-you-too/,CHEA0023
13 Awesome Environmental Benefits of Riding an Electric Bike,https://www.conserve-energy-future.com/environmental-benefits-electric-bike.php,CHEA0023
13 Tips for your First Bike Commute,https://www.active.com/cycling/articles/13-tips-for-your-first-bike-commute,CHEA0025
Bike Commuting Tips for Beginners,https://www.liv-cycling.com/global/campaigns/bike-commuting-tips-for-beginners/26128,CHEA0025
Everything You Need to Know About Cycling to Work,https://www.bicycling.com/news/a20031666/14-commuter-pros-share-their-secrets/,CHEA0025
10 tips to make biking to work a breeze,https://www.bikeradar.com/advice/fitness-and-training/cycling-to-work-guide/,CHEA0025
Energy Vampire Calculator,https://www.duke-energy.com/energy-education/energy-savings-and-efficiency/energy-vampires/calculator,CHEA0026
Energy Vampires: Which Electronics are the Worst?,https://justenergy.com/blog/energy-vampires-which-electronics-are-the-worst/,CHEA0026
Vampires Appliances: The Electronics Sucking your Wallet Dry,https://www.theguardian.com/money/2022/mar/23/vampire-appliances-the-electronics-sucking-your-wallet-dry,CHEA0026
REI Pre-Ride Inspection Checklist,https://www.rei.com/learn/expert-advice/pre-ride-inspection.html,CHTT0030
"How To Make Friends With The Freezer To Reduce Daily Food Waste
",https://thechalkboardmag.com/reduce-daily-food-waste-freezer-tips/,CHFD0047
15 things you didn’t know you could freeze,https://www.respectfood.com/article/15-things-you-didnt-know-you-could-freeze/,CHFD0047
USDA: Freezing and Food Safety,https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/freezing-and-food-safety,CHFD0047
Where Does My Drinking Water Come From?,"https://www.americanrivers.org/rivers/discover-your-river/drinking-water/#:~:text=The%20best%20way%20to%20learn,and%20how%20it%20is%20treated.",CHEA0027
Actions to Commit to Water,https://www.unwater.org/bethechange/,CHEA0028
World Water Day,https://www.worldwaterday.org/,CHEA0028
"CERT guide to IRA, rebates and credits",https://www.cleanenergyresourceteams.org/inflation-reduction-act-what-you-need-know,CHEA0047
Litterless guide to zero waste grocery shopping,https://www.litterless.com/wheretoshop,CHFD0048
Earth 911: Plastic-Free Basket Grass,https://earth911.com/diy/plastic-free-easter-basket-grass-ideas/,CHHH0046
King County Earth Day Opportunities 2023,https://kingcounty.gov/en/dept/dnrp/nature-recreation/environment-ecology-conservation/volunteering-environmental-stewardship/earth-day,CHEA0029
King County Parks Volunteer Page,https://kingcounty.gov/en/dept/dnrp/nature-recreation/parks-recreation/king-county-parks/get-involved/volunteer,CHEA0029
Volunteer Match,https://www.volunteermatch.org/,CHEA0030
"Earth Day, Arboretum Foundation",https://arboretumfoundation.org/events/earth-day/,CHEA0029
Seattle Earth Day Volunteer Events,https://www.volunteermatch.org/search/?l=Seattle%2C+WA%2C+USA&v=true&k=Earth+Day,CHEA0029
GetGreen on Instagram,https://www.instagram.com/getgreenapp/?hl=en,"CHEA0031,COFD0001"
GetGreen on LinkedIn,https://www.linkedin.com/company/emeraldtechnologygroup/posts/?feedView=all&viewAsMember=true,CHEA0031
GetGreen on Twitter,https://twitter.com/getgreenapp,CHEA0031
